site,transect,designated.window,actual.window,plant,ID,year_t,max.ht_t,max.w_t,perp.w_t,max.ht.dead,max.w.dea,perp.w.dead,flowers_t,fruits_t,reproductive_fraction_t,node.galls_t,stem.galls_t,bagworms_t,notes_t,year_t1,new.plant_t1,seedling_t1,newplant.meter,survival_t1,max.ht_t1,max.w_t1,perp.w_t1,flowers_t1,fruits_t1,reproductive_fraction,notes_t1
FPS,2,0,0,5,2-0-5,2013,76,118,80,71,128,122,0,10,1,0,0,0,NaN,2014,0,,,1,73,89,51,0,44,1,
FPS,2,0,0,6,2-0-6,2013,16,34,24,39,50,51,0,0,1,0,0,0,NaN,2014,0,,,1,27,42,38,0,0,1,
FPS,2,0,0,7,2-0-7,2013,56,58,51,48,102,98,0,3,1,0,0,0,NaN,2014,0,,,1,56,64,54,0,10,1,
FPS,2,0,,8,2-0-8,2013,48,42,32,41,62,60,0,2,1,0,0,0,NaN,2014,0,,,1,48,48,43,0,25,1,
FPS,2,0,0,9,2-0-9,2013,19,27,24,22,50,42,0,0,1,0,0,0,NaN,2014,0,,,1,22,32,31,,,,
FPS,2,0,0,10,2-0-10,2013,75,97,81,73,109,103,0,1,1,0,0,0,NaN,2014,0,,,1,71,110,94,0,24,1,
FPS,2,50,50,1,2-50-1,2013,61,78,37,52,119,114,0,2,1,0,0,0,NaN,2014,0,,,1,63,97,60,0,1,1,1 pent bug
FPS,2,50,50,2,2-50-2,2013,53,41,38,26,79,79,0,0,1,0,0,0,NaN,2014,0,,,1,56,54,50,0,1,1,
FPS,2,50,,3,2-50-3,2013,46,33,30,45,113,83,0,0,1,1,0,0,NaN,2014,0,,,1,48,61,43,0,3,1,
FPS,2,50,50,4,2-50-4,2013,45,63,55,50,109,75,0,0,1,2,0,0,NaN,2014,0,,,1,42,70,61,0,0,1,
FPS,2,50,,5,2-50-5,2013,31,40,39,64,88,85,0,0,1,0,0,0,NaN,2014,0,,,1,40,57,49,0,0,1,
FPS,2,50,50,6,2-50-6,2013,31,60,53,56,121,110,0,0,1,0,0,0,NaN,2014,0,,,1,43,74,67,0,0,1,
FPS,2,50,,7,2-50-7,2013,25,51,37,45,75,63,0,0,1,0,0,0,NaN,2014,0,,,1,41,63,43,0,0,1,
FPS,2,50,,8,2-50-8,2013,25,53,36,53,108,93,0,0,1,0,0,0,NaN,2014,0,,,1,42,60,55,0,0,1,
FPS,2,50,50,9,2-50-9,2013,41,50,49,49,86,83,0,0,1,0,0,0,NaN,2014,0,,,1,47,68,59,0,0,1,
FPS,2,50,55,10,2-50-10,2013,41,51,48,66,138,131,0,0,1,0,0,0,NaN,2014,0,,,1,55,75,68,2,0,1,
FPS,2,100,100,1,2-100-1,2013,107,174,106,139,241,212,0,19,1,3,0,0,NaN,2014,0,,,1,103,179,124,0,77,1,
FPS,2,100,100,2,2-100-2,2013,79,118,73,86,173,153,0,8,1,0,0,0,NaN,2014,0,,,1,72,120,104,0,32,1,
FPS,2,100,,3,2-100-3,2013,112,112,107,153,249,167,0,7,1,3,0,0,NaN,2014,0,,,1,122,160,117,0,62,1,
FPS,2,100,100,4,2-100-4,2013,89,65,50,111,132,132,0,3,1,2,0,0,"Immediately adjacent to, and easily confused with, 2-100-5",2014,0,,,1,93,73,67,0,36,1,
FPS,2,100,100,5,2-100-5,2013,25,28,22,50,113,67,0,4,1,0,0,0,NaN,2014,0,,,1,25,22,13,0,0,1,
FPS,2,100,100,6,2-100-6,2013,58,26,25,72,115,56,0,2,1,0,0,0,NaN,2014,0,,,1,61,38,30,0,3,1,
FPS,2,100,100,7,2-100-7,2013,96,67,67,98,169,114,0,6,1,0,0,0,NaN,2014,0,,,1,99,88,82,0,21,1,
FPS,2,100,100,8,2-100-8,2013,111,96,84,180,277,175,0,6,1,0,0,0,unmarked plants adjacent to 2-100-8; easily confused,2014,0,,,1,104,108,79,0,3,1,
FPS,2,100,100,9,2-100-9,2013,142,145,122,139,244,223,0,9,1,0,0,0,NaN,2014,0,,,1,128,156,165,0,71,1,1 gray weevil
FPS,2,100,105,10,2-100-10,2013,93,160,176,131,200,177,0,33,1,0,0,0,1 pupal case,2014,0,,,1,100,198,197,0,55,1,1 pent bug
FPS,2,150,150,1,2-150-1,2013,97,157,100,94,229,200,0,24,1,0,0,0,NaN,2014,0,,,1,99,61,118,85,131,1,
FPS,2,150,150,2,2-150-2,2013,53,69,60,38,72,72,0,0,1,3,0,0,"new, unopened flower buds present. Very little dead plant material",2014,0,,,1,49,80,74,0,0,1,
FPS,2,150,150,3,2-150-3,2013,52,53,46,41,27,30,0,0,1,0,0,0,unopened flower buds present; immediately adjacent to #4. very little dead plant material,2014,0,,,1,62,67,57,16,4,1,
FPS,2,150,150,4,2-150-4,2013,41,53,40,23,27,21,0,7,1,0,0,0,unopened flower buds present; very little dead plant material,2014,0,,,1,43,68,40,0,11,1,
FPS,2,150,150,5,2-150-5,2013,103,70,58,140,316,255,0,12,1,0,0,0,NaN,2014,0,,,1,100,75,73,0,41,1,
FPS,2,150,150,6,2-150-6,2013,53,55,41,0,0,0,0,0,1,0,0,0,NaN,2014,0,,,1,59,65,46,0,17,1,
FPS,2,150,155,7,2-150-7,2013,73,77,47,22,43,43,0,6,1,0,0,0,Not much of the plant was dead,2014,0,,,1,79,94,43,0,5,1,
FPS,2,150,,8,2-150-8,2013,64,80,70,50,73,30,0,0,1,0,0,0,Not much dead,2014,0,,,1,71,81,71,0,18,1,2 pent bugs
FPS,2,150,,9,2-150-9,2013,71,139,110,71,130,98,0,18,1,0,0,0,NaN,2014,0,,,1,73,142,117,0,14,1,
FPS,2,150,155,10,2-150-10,2013,47,49,47,28,22,12,0,8,1,0,0,0,Not much dead,2014,0,,,1,55,56,54,0,14,1,
FPS,2,150,,11,,,,,,,,,,,1,,,,,2014,1,0,,,27,28,21,0,0,1,
FPS,2,150,,12,,,,,,,,,,,1,,,,,2014,1,0,,,32,40,39,1,1,1,
FPS,2,200,200,1,2-200-1,2013,82,85,72,126,215,204,0,3,1,0,0,0,NaN,2014,0,,,1,90,100,111,4,2,1,
FPS,2,200,,2,2-200-2,2013,64,68,57,108,142,98,0,1,1,0,0,0,NaN,2014,0,,,1,71,78,73,4,0,1,1 pent bug
FPS,2,200,200,3,2-200-3,2013,65,70,56,73,176,95,0,0,1,0,0,0,NaN,2014,0,,,1,73,89,86,11,0,1,
FPS,2,200,,4,2-200-4,2013,56,196,190,26,187,198,0,2,1,0,0,0,NaN,2014,0,,,1,78,122,114,339,15,1,
FPS,2,200,200,5,2-200-5,2013,97,141,81,135,193,176,0,35,1,0,0,0,"Grey weevil, 1cm long",2014,0,,,1,115,142,114,0,52,1,
FPS,2,250,250,1,2-250-1,2013,23,36,39,22,37,12,0,0,1,0,0,0,NaN,2014,0,,,1,35,60,54,0,0,1,
FPS,2,250,,2,2-250-2,2013,77,86,71,63,105,99,0,7,1,1,0,0,many unopened flowerbuds,2014,0,,,1,88,100,84,60,7,1,3 pent bugs
FPS,2,250,,3,2-250-3,2013,62,100,96,53,130,138,0,2,1,0,0,0,many unopened flowerbuds,2014,0,,,1,68,135,142,129,40,1,
FPS,2,250,,4,2-250-4,2013,34,39,37,37,80,51,0,0,1,1,0,0,NaN,2014,0,,,1,53,64,55,39,4,1,
FPS,2,250,255,5,2-250-5,2013,50,53,42,34,72,67,0,2,1,2,0,0,NaN,2014,0,,,1,51,86,81,0,0,1,
FPS,2,250,,6,2-250-6,2013,37,80,62,75,110,82,0,0,1,0,0,0,NaN,2014,0,,,1,50,113,92,18,2,1,1 pent bug
FPS,2,250,255,7,2-250-7,2013,36,54,51,30,90,74,0,0,1,0,0,0,0.5 m outside the 10m mark,2014,0,,,1,54,93,81,8,4,1,.5 m outside the 10 m mark
FPS,2,350,345,1,2-350-1,2013,74,112,73,112,252,241,0,2,1,0,0,0,some unopened buds; located between 345m and 350m,2014,0,,,1,81,132,107,1,0,1,
FPS,2,350,,2,2-350-2,2013,58,74,77,49,100,102,0,0,1,0,0,0,2.5m outside the plot to the side but within the 350m - 355m plot,2014,0,,,1,67,97,84,2,21,1,2.5 m outside to the side but within the 350-355m plot
FPS,2,500,490,1,2-500-1,2013,56,84,59,63,162,107,0,0,1,0,0,0,located between 490 & 500m,2014,0,,,1,62,102,69,0,0,1,located between 490 and 500 m
FPS,3,0,0,1,3-0-1,2013,64,88,68,96,135,107,0,2,1,0,0,0,NaN,2014,0,,,1,67,88,88,0,2,1,
FPS,3,0,,2,3-0-2,2013,61,100,97,0,0,0,0,3,1,0,0,0,ladybug,2014,0,,,1,56,105,83,0,0,1,
FPS,3,0,,3,3-0-3,2013,84,191,91,0,0,0,0,5,1,1,0,0,NaN,2014,0,,,1,89,141,111,0,0,1,
FPS,3,0,0,4,3-0-4,2013,62,100,58,49,125,74,0,1,1,0,0,0,NaN,2014,0,,,1,69,107,62,0,0,1,
FPS,3,0,0,5,3-0-5,2013,61,83,51,35,105,50,0,4,1,0,0,0,diffuse and fragmented,2014,0,,,1,60,85,61,0,0,1,
FPS,3,0,0,6,3-0-6,2013,54,88,37,60,85,60,0,6,1,0,0,0,NaN,2014,0,,,1,57,60,32,0,0,1,
FPS,3,0,,7,3-0-7,2013,133,203,154,122,190,148,0,33,1,0,0,0,NaN,2014,0,,,1,122,170,175,0,23,1,
FPS,3,0,0,8,3-0-8,2013,61,99,60,73,123,122,0,0,1,0,0,0,NaN,2014,0,,,1,56,107,70,0,1,1,
FPS,3,0,0,9,3-0-9,2013,84,69,48,58,80,47,0,0,1,0,0,0,NaN,2014,0,,,1,90,100,33,0,4,1,
FPS,3,0,,10,3-0-10,2013,102,121,167,78,154,118,0,46,1,1,0,0,Large and fragmented cluster,2014,0,,,1,105,177,100,40,56,1,
FPS,3,50,,1,3-50-1,2013,69,57,33,98,140,132,0,1,1,1,0,0,NaN,2014,0,,,1,69,59,31,0,2,1,
FPS,3,50,,2,3-50-2,2013,31,23,19,46,67,71,0,0,1,0,0,0,NaN,2014,0,,,1,38,48,47,0,0,1,
FPS,3,50,,3,3-50-3,2013,17,12,7,37,36,29,0,0,1,0,0,0,NaN,2014,0,,,1,20,22,11,0,0,1,
FPS,3,50,,4,3-50-4,2013,17,13,13,23,21,19,0,0,1,0,0,0,NaN,2014,0,,,1,17,21,14,0,0,1,
FPS,3,50,,5,3-50-5,2013,24,25,21,63,100,94,0,0,1,0,0,1,NaN,2014,0,,,1,27,33,30,0,0,1,
FPS,3,50,50,6,3-50-6,2013,23,13,7,36,68,43,0,0,1,0,0,0,NaN,2014,0,,,1,23,13,10,0,0,1,
FPS,3,50,50,7,3-50-7,2013,17,19,19,35,68,40,0,0,1,0,0,0,NaN,2014,0,,,1,28,29,26,0,0,1,
FPS,3,50,50,8,3-50-8,2013,39,23,28,44,79,84,0,0,1,0,0,0,NaN,2014,0,,,1,38,35,27,0,2,1,
FPS,3,50,50,9,3-50-9,2013,23,25,19,34,72,50,0,0,1,0,0,0,NaN,2014,0,,,1,39,21,23,0,0,1,
FPS,3,50,50,10,3-50-10,2013,21,21,18,48,72,53,0,0,1,0,0,0,NaN,2014,0,,,1,31,31,28,0,0,1,
FPS,3,100,,1,3-100-1,2013,80,73,56,106,152,151,3,0,1,1,0,0,NaN,2014,0,,,1,82,82,69,0,5,1,
FPS,3,100,,2,3-100-2,2013,25,27,18,41,72,49,0,0,1,0,0,0,NaN,2014,0,,,1,30,36,24,0,0,1,
FPS,3,100,,3,3-100-3,2013,52,63,42,65,148,92,0,6,1,0,0,0,NaN,2014,0,,,1,64,71,50,0,2,1,
FPS,3,100,100,4,3-100-4,2013,103,85,40,84,131,121,0,0,1,0,0,0,NaN,2014,0,,,1,58,48,48,0,0,1,
FPS,3,100,100,5,3-100-5,2013,11,13,14,20,14,10,0,0,1,0,0,0,NaN,2014,0,,,1,18,24,17,0,0,1,
FPS,3,100,,6,3-100-6,2013,26,33,28,33,56,38,0,0,1,0,0,0,NaN,2014,0,,,1,29,36,33,0,0,1,
FPS,3,100,,7,3-100-7,2013,18,30,28,28,49,42,0,0,1,0,0,0,NaN,2014,0,,,1,32,52,41,0,0,1,
FPS,3,100,100,8,3-100-8,2013,58,60,44,92,123,152,0,1,1,1,0,0,"It's possible plants 3-100-8, 3-100-9, 3-100-10 are connected",2014,0,,,1,62,82,55,0,13,1,
FPS,3,100,100,9,3-100-9,2013,126,38,24,59,73,97,0,0,1,0,0,0,"It's possible plants 3-100-8, 3-100-9, 3-100-10 are connected",2014,0,,,1,42,49,38,0,0,1,
FPS,3,100,100,10,3-100-10,2013,25,26,19,44,69,55,0,0,1,0,0,0,"It's possible plants 3-100-8, 3-100-9, 3-100-10 are connected",2014,0,,,1,43,36,32,0,0,1,
FPS,3,150,,1,3-150-1,2013,45,46,46,20,27,18,0,11,1,1,0,0,NaN,2014,0,,,1,52,61,59,0,2,1,
FPS,3,150,150,2,3-150-2,2013,56,34,42,35,35,43,0,3,1,0,0,0,NaN,2014,0,,,1,61,56,47,0,0,1,
FPS,3,150,,3,3-150-3,2013,63,61,55,56,61,61,0,8,1,0,0,0,NaN,2014,0,,,1,69,77,68,0,2,1,
FPS,3,150,150,4,3-150-4,2013,33,42,36,30,25,22,0,0,1,0,0,0,NaN,2014,0,,,1,49,55,48,0,0,1,
FPS,3,150,150,5,3-150-5,2013,16,22,19,10,18,4,0,0,1,0,0,0,NaN,2014,0,,,1,24,31,26,0,0,1,
FPS,3,150,150,6,3-150-6,2013,23,26,19,19,16,9,0,0,1,0,0,0,NaN,2014,0,,,1,32,31,32,0,0,1,
FPS,3,150,,7,3-150-7,2013,35,40,30,29,42,41,0,0,1,3,1,0,gray weevil,2014,0,,,1,40,53,41,0,0,1,
FPS,3,150,150,8,3-150-8,2013,26,30,29,19,22,8,0,0,1,0,0,0,NaN,2014,0,,,1,34,41,34,0,0,1,
FPS,3,150,150,9,3-150-9,2013,15,20,16,12,16,11,0,0,1,1,0,0,NaN,2014,0,,,1,25,29,20,0,0,1,
FPS,3,150,150,10,3-150-10,2013,45,45,43,29,52,21,0,6,1,0,0,0,NaN,2014,0,,,1,51,57,52,0,1,1,
FPS,3,200,,1,3-200-1,2013,51,79,73,83,113,97,0,9,1,2,0,0,NaN,2014,0,,,1,65,104,90,0,3,1,
FPS,3,200,200,2,3-200-2,2013,69,79,54,70,140,98,0,6,1,0,0,0,NaN,2014,0,,,1,60,83,73,11,3,1,a bunch of unopened buds (not in flower count)
FPS,3,200,,3,3-200-3,2013,48,58,63,62,100,75,0,0,1,0,0,0,NaN,2014,0,,,1,63,76,63,0,0,1,
FPS,3,200,,4,3-200-4,2013,55,65,53,88,159,145,0,41,1,0,0,0,NaN,2014,0,,,1,62,90,75,2,50,1,
FPS,3,200,,5,3-200-5,2013,98,91,82,155,270,239,2,3,1,0,0,0,NaN,2014,0,,,1,101,110,102,7,1,1,
FPS,3,200,,6,3-200-6,2013,21,14,14,38,13,7,0,0,1,0,0,0,NaN,2014,0,,,1,33,24,22,0,0,1,
FPS,3,200,200,7,3-200-7,2013,95,100,97,69,164,112,0,4,1,0,0,0,NaN,2014,0,,,1,96,117,90,1,14,1,
FPS,3,200,200,8,3-200-8,2013,17,20,13,16,8,4,0,0,1,0,0,0,NaN,2014,0,,,1,35,27,14,0,0,1,
FPS,3,200,205,9,3-200-9,2013,114,121,83,88,127,67,0,20,1,3,0,0,NaN,2014,0,,,1,115,138,110,0,39,1,
FPS,3,200,205,10,3-200-10,2013,38,31,28,35,33,22,0,0,1,0,0,0,NaN,2014,0,,,1,43,33,23,0,0,1,
FPS,3,300,,1,3-300-1,2013,37,46,48,35,53,30,0,0,1,1,0,0,1m outside,2014,0,,,1,49,69,66,0,1,1,
FPS,3,350,,1,3-350-1,2013,90,137,148,155,232,186,45,18,1,0,0,0,many unopened flowerbuds,2014,0,,,1,90,175,138,236,73,0.5,
FPS,3,350,,2,3-350-2,2013,156,153,82,175,211,195,10,1,1,1,0,0,many unopened flowerbuds,2014,0,,,1,141,143,81,88,41,1,
FPS,3,350,,3,3-350-3,2013,138,135,83,131,237,109,7,1,1,0,0,0,NaN,2014,0,,,1,135,123,91,185,32,0.5,
FPS,3,350,,4,3-350-4,2013,56,26,15,25,26,24,0,0,1,0,0,0,gray mottled beetle,2014,0,,,1,65,30,24,18,0,1,
FPS,3,350,,5,3-350-5,2013,93,97,83,98,122,127,9,20,1,0,0,0,"another gray mottled beetle, maybe the same one",2014,0,,,1,100,121,112,118,149,1,
FPS,3,350,,6,3-350-6,2013,98,146,97,188,223,244,12,7,1,0,0,0,"many unopened flowerbuds; another gray mottled beetle (on cholla sometimes), later observed eating flowerbuds on a different plant",2014,0,,,1,109,138,131,116,73,0.5,
FPS,3,350,,7,3-350-7,2013,71,94,71,126,250,180,59,5,1,2,0,0,many unopened buds,2014,0,,,1,77,127,109,184,202,0.5,
FPS,3,450,455,1,3-450-1,2013,92,43,31,104,141,158,39,5,1,3,0,0,2m outside plot; unopened buds,2014,0,,,1,93,137,103,214,30,0.5,"2 m outside plot, believe the half count is just for the flowers, not for the buds?"
FPS,3,450,455,2,3-450-2,2013,75,89,104,121,288,318,5,1,1,0,0,0,falls into 455 zone,2014,0,,,1,85,133,112,183,28,1,455 zone
FPS,3,450,,3,3-450-3,2013,65,96,68,117,162,118,0,0,1,0,0,0,falls into 455 zone,2014,0,,,1,82,100,85,142,87,1,455 zone
FPS,3,500,500,1,3-500-1,2013,38,49,36,12,11,6,0,0,1,0,0,0,NaN,2014,0,,,1,95,140,129,121,73,1,
FPS,3,500,,2,3-500-2,2013,83,124,111,109,239,234,3,14,1,0,0,0,unopened buds,2014,0,,,1,37,60,55,0,1,1,
FPS,3,500,,3,3-500-3,2013,68,92,72,88,169,152,0,0,1,1,0,0,NaN,2014,0,,,1,70,100,90,103,17,1,
FPS,3,550,550,1,3-550-1,2013,63,124,187,150,200,164,1,0,1,0,0,0,unopened buds,2014,0,,,1,77,125,110,22,0,1,
FPS,1,0,0,1,,2014,60,61,43,,,,0,0,1,,,,                                                                                                                                                                                                                                                                                                                                                                                                                    ,2015,0,,,1,56,68,44,3,4,1,
FPS,1,0,0,2,,2014,96,164,127,,,,0,244,1,,,,,2015,0,,,1,92,162,127,49,61,1,
FPS,1,0,,3,,2014,16,23,13,,,,0,0,1,,,,,2015,0,,,1,16,26,17,0,0,1,outside window 
FPS,1,0,0,4,,2014,41,71,47,,,,0,0,1,,,,,2015,0,,,1,52,48,34,0,0,1,
FPS,1,0,,5,,2014,59,90,56,,,,0,22,1,,,,,2015,0,,,,,,,,,,no data collected
FPS,1,0,0,6,,2014,36,39,24,,,,0,0,1,,,,,2015,0,,,1,47,44,33,11,2,1,
FPS,1,0,,7,,2014,54,87,77,,,,0,1,1,,,,,2015,0,,,1,67,87,85,4,0,1,outside window 
FPS,1,0,0,8,,2014,47,78,66,,,,0,0,1,,,,,2015,0,,,1,56,80,65,2,0,1,
FPS,1,0,,9,,2014,85,55,60,,,,0,5,1,,,,,2015,0,,,1,84,56,42,3,0,1,outside window 
FPS,1,0,0,10,,2014,54,46,36,,,,0,7,1,,,,,2015,0,,,1,58,55,38,0,0,1,
FPS,1,50,50,1,,2014,127,200,138,,,,71,77,1,,,,,2015,0,,,1,127,208,145,166,287,1,
FPS,1,50,50,2,,2014,26,50,47,,,,0,0,1,,,,,2015,0,,,1,26,53,50,0,0,1,
FPS,1,50,,3,,2014,82,114,85,,,,217,65,1,,,,,2015,0,,,1,87,118,93,19,14,1,outside window 
FPS,1,50,55,4,,2014,55,68,64,,,,7,0,1,,,,,2015,0,,,1,56,78,69,0,0,1,closer to 60
FPS,1,50,,6,,,,,,,,,,,,,,,,2015,1,0,,,6,12,9,0,0,1,"Likely not a new recruit, but odd that it would have been missed last year. "
FPS,1,100,,1,,2014,87,105,100,,,,149,22,1,,,,8 pent bugs,2015,0,,,1,92,141,128,332,162,1,outside window 
FPS,1,100,105,2,,2014,133,123,110,,,,23,34,1,,,,,2015,0,,,1,132,145,129,147,8,1,
FPS,1,100,,3,,2014,123,170,157,,,,17,170,1,,,,,2015,0,,,1,144,172,122,102,12,1,"outside window; odd dimensions, hard to measure "
FPS,1,100,130,4,,,,,,,,,,,,,,,,2015,1,0,134.35,1,10,12,7,0,0,1,
FPS,1,150,145,1,,2014,71,157,113,,,,45,2,1,,,,,2015,0,,,1,83,184,114,24,29,1,
FPS,1,150,150,2,,2014,98,154,109,,,,239,191,1,,,,,2015,0,,,1,105,138,136,121,50,1,
FPS,1,150,,3,,2014,40,32,27,,,,0,0,1,,,,,2015,0,,,1,46,44,38,0,0,1,outside window
FPS,1,150,,4,,2014,94,120,112,,,,254,136,0.5,,,,,2015,0,,,1,92,141,129,14,2,1,outside window
FPS,1,200,,1,,2014,54,74,84,,,,46,4,1,,,,,2015,0,,,1,50,92,78,7,0,1,outside window
FPS,1,200,,2,,2014,75,116,120,,,,439,101,1,,,,3 pent bugs,2015,0,,,1,80,140,132,21,0,1,outside window
FPS,1,200,,3,,2014,84,125,119,,,,302,222,0.5,,,,,2015,0,,,1,84,131,121,84,13,1,outside window
FPS,1,200,200,4,,2014,82,117,116,,,,307,129,0.5,,,,,2015,0,,,1,90,130,117,9,8,1,
FPS,1,300,305,1,,2014,149,222,189,,,,424,203,1,,,,1 pent bug,2015,0,,,1,122,230,228,8,8,1,
