Year,Transect,Quad,BOER_percent,BOGR_percent,LATR_percent
2001,East,630,41.5,0,0
2001,East,640,62.5,0,0
2001,East,650,85,0,0
2001,East,660,62.5,0,0
2001,East,670,62.5,0,0
2001,East,680,41.5,0,0
2001,East,690,29,1,17.5
2001,East,700,29,0,0
2001,East,710,62.5,0,0
2001,East,720,85,0,0
2001,East,730,85,2.5,0
2001,East,740,85,1,0
2001,East,750,85,0,0
2001,East,760,62.5,0,0
2001,East,770,62.5,0,0
2001,East,780,62.5,1,0
2001,East,790,85,7.5,0
2001,East,800,17.5,7.5,0
2001,East,810,7.5,7.5,0
2001,East,820,7.5,7.5,0
2001,East,830,7.5,7.5,0
2001,East,840,2.5,17.5,0
2001,East,850,2.5,17.5,0
2001,East,860,7.5,17.5,0
2001,East,870,7.5,17.5,0
2001,East,880,7.5,7.5,0
2001,East,890,7.5,2.5,0
2001,East,900,7.5,2.5,0
2001,East,910,17.5,2.5,0
2001,East,920,17.5,2.5,0
2001,East,930,62.5,7.5,0
2001,East,940,41.5,17.5,0
2001,East,950,41.5,17.5,0
2001,East,960,29,17.5,0
2001,East,970,17.5,1,0
2001,East,980,62.5,2.5,0
2001,East,990,17.5,2.5,0
2001,East,1000,85,7.5,0
2001,West,0,29,0,17.5
2001,West,10,62.5,0,17.5
2001,West,20,29,0,17.5
2001,West,30,7.5,0,7.5
2001,West,40,2.5,0,2.5
2001,West,50,0,0,7.5
2001,West,60,62.5,0,0
2001,West,70,29,1,0
2001,West,80,17.5,0,7.5
2001,West,90,7.5,0,0
2001,West,100,7.5,1,17.5
2001,West,110,29,0,17.5
2001,West,120,17.5,0,0
2001,West,130,29,1,2.5
2001,West,140,41.5,0,0
2001,West,150,29,0,7.5
2001,West,160,62.5,0,0
2001,West,170,41.5,0,0
2001,West,180,41.5,0,0
2001,West,190,29,0,0
2001,West,200,2.5,1,0
2001,West,210,7.5,0,1
2001,West,220,17.5,0,0
2001,West,230,17.5,0,0
2001,West,240,29,0,2.5
2001,West,250,29,0,1
2001,West,260,17.5,0,1
2001,West,270,29,0,0
2001,West,280,29,0,0
2001,West,290,17.5,0,0
2001,West,300,29,0,2.5
2001,West,310,17.5,0,0
2001,West,320,7.5,0,0
2001,West,330,29,1,7.5
2001,West,340,62.5,1,0
2001,West,350,41.5,0,0
2001,West,360,29,0,0
2001,West,370,17.5,0,0
2001,West,380,17.5,1,0
2001,West,390,62.5,0,0
2001,West,400,17.5,0,1
2001,West,410,17.5,0,1
2001,West,420,62.5,0,2.5
2001,West,430,62.5,2.5,1
2001,West,440,29,0,7.5
2001,West,450,41.5,2.5,0
2001,West,460,41.5,1,0
2001,West,470,41.5,1,0
2001,West,480,41.5,1,0
2001,West,490,17.5,0,0
2001,West,500,29,0,0
2001,West,510,17.5,2.5,2.5
2001,West,520,7.5,7.5,0
2001,West,530,2.5,7.5,0
2001,West,540,7.5,2.5,0
2001,West,550,7.5,0,2.5
2001,West,560,17.5,0,0
2001,West,570,17.5,0,0
2001,West,580,29,0,2.5
2001,West,590,29,0,0
2001,West,600,17.5,1,0
2001,West,610,17.5,0,2.5
2001,West,620,17.5,0,1
2001,West,630,17.5,0,1
2001,West,640,29,1,1
2001,West,650,29,0,2.5
2001,West,660,29,0,2.5
2001,West,670,17.5,0,0
2001,West,680,41.5,1,0
2001,West,690,17.5,0,2.5
2001,West,700,29,1,0
2001,West,710,17.5,2.5,0
2001,West,720,17.5,2.5,0
2001,West,730,29,1,0
2001,West,740,17.5,0,0
2001,West,750,62.5,0,0
2001,West,760,85,0,0
2001,West,770,41.5,0,0
2001,West,780,85,0,0
2001,West,790,85,0,0
2001,West,800,85,0,0
2001,West,810,85,0,0
2001,West,820,85,0,0
2001,West,830,85,0,0
2001,West,840,85,0,0
2001,West,850,62.5,0,0
2001,West,860,62.5,0,0
2001,West,870,85,0,7.5
2001,West,880,85,0,0
2001,West,890,85,0,7.5
2001,West,900,62.5,0,0
2001,West,910,62.5,0,0
2001,West,920,29,0,0
2001,West,930,29,0,0
2001,West,940,29,0,0
2001,West,950,41.5,0,0
2001,West,960,41.5,0,0
2001,West,970,41.5,0,0
2001,West,980,41.5,0,0
2001,West,990,62.5,0,0
2001,West,1000,17.5,0,0
2013,East,10,3,0,9
2013,East,20,0.5,0,26
2013,East,30,0.5,0,25
2013,East,40,0.5,0.5,5
2013,East,50,15,0,5
2013,East,60,15,0,15
2013,East,70,7,0,0
2013,East,80,3,0,25
2013,East,90,6,0,0
2013,East,100,1,0,10
2013,East,110,1,0,10
2013,East,120,0,0,15
2013,East,130,2,0.5,29
2013,East,140,15,0,29
2013,East,150,25,0,0
2013,East,160,2,0.5,1
2013,East,170,30,0,20
2013,East,180,47,0,3
2013,East,190,50,0,1
2013,East,200,47,0.5,3
2013,East,210,28,0,45
2013,East,220,24,0,32
2013,East,230,18,0,5
2013,East,240,58,0,0
2013,East,250,62,0,0.5
2013,East,260,60,0,0
2013,East,270,59,0,2
2013,East,280,17,1,4
2013,East,290,38,0,19
2013,East,300,34,0,3
2013,East,310,50,0,1
2013,East,320,41,0,20
2013,East,330,48,0,5
2013,East,340,53,0,3
2013,East,350,66,1,0
2013,East,360,77,2,0
2013,East,370,71,0,0
2013,East,380,67,1,0
2013,East,390,72,0,0
2013,East,400,63,1,0
2013,East,410,32,10,0
2013,East,420,28,15,0
2013,East,430,40,5,0
2013,East,440,21,15,0
2013,East,450,20,15,0
2013,East,460,33,3,0
2013,East,470,23,0,0
2013,East,480,0,1,0
2013,East,490,3,0,0
2013,East,500,40,0,0
2013,East,510,40,0,0
2013,East,520,45,0,0
2013,East,530,70,0,0
2013,East,540,80,1,0
2013,East,550,80,3,0
2013,East,560,85,0,0
2013,East,570,82,0,0
2013,East,580,68,0,0
2013,East,590,55,10,0
2013,East,600,78,1,0
2013,East,610,55,0,0
2013,East,620,63,0,0
2013,East,630,65,1,0
2013,East,640,65,1,0
2013,East,650,60,0,0
2013,East,660,70,0,0
2013,East,670,65,1,0
2013,East,680,61,1,0
2013,East,690,60,0,0
2013,East,700,25,0,5
2013,East,710,55,0,0
2013,East,720,30,0,0
2013,East,730,65,0,0
2013,East,740,62,2,0
2013,East,750,35,0,0
2013,East,760,35,0,0
2013,East,770,40,0,0
2013,East,780,46,0,0
2013,East,790,40,0,0
2013,East,800,52,5,0
2013,East,810,20,25,0
2013,East,820,20,15,0
2013,East,830,25,20,0
2013,East,840,15,30,0
2013,East,850,7,25,0
2013,East,860,10,20,0
2013,East,870,7,35,0
2013,East,880,10,33,0
2013,East,890,15,35,0
2013,East,900,20,20,0
2013,East,910,25,25,0
2013,East,920,20,35,0
2013,East,930,25,15,0
2013,East,940,25,20,0
2013,East,950,30,20,0
2013,East,960,30,15,0
2013,East,970,20,35,0
2013,East,980,40,15,0
2013,East,990,20,20,0
2013,East,1000,40,15,0
2013,West,10,40,0,10
2013,West,20,45,0,10
2013,West,30,28,0,13
2013,West,40,31,0,8
2013,West,50,16,0,5
2013,West,60,24,0,4
2013,West,70,67,0,0
2013,West,80,82,0,0
2013,West,90,60,0,3
2013,West,100,40,0,1
2013,West,110,33,0,13
2013,West,120,43,0,19
2013,West,130,53,0,0
2013,West,140,62,0,2
2013,West,150,78,0,0
2013,West,160,47,0,3
2013,West,170,77,0,0
2013,West,180,83,0,0
2013,West,190,67,0,0
2013,West,200,48,0,0
2013,West,210,50,0,0
2013,West,220,60,0,0
2013,West,230,58,0,1
2013,West,240,50,0,0
2013,West,250,64,0,3
2013,West,260,71,0,0
2013,West,270,62,0,2
2013,West,280,72,0,1
2013,West,290,87,0,1
2013,West,300,80,0,1
2013,West,310,78,0,2
2013,West,320,81,0,0
2013,West,330,67,0,0
2013,West,340,55,0,4
2013,West,350,68,0,0
2013,West,360,77,0,0
2013,West,370,74,0,0
2013,West,380,79,0,0
2013,West,390,88,0,0
2013,West,400,73,0,0
2013,West,410,73,0,1
2013,West,420,42,0,1
2013,West,430,77,0,0
2013,West,440,65,2,1
2013,West,450,61,3,1
2013,West,460,47,1,3
2013,West,470,63,5,0
2013,West,480,60,10,0
2013,West,490,54,5,0
2013,West,500,54,5,0
2013,West,510,40,0,0
2013,West,520,30,6,2
2013,West,530,7,20,0
2013,West,540,5,25,0
2013,West,550,10,25,0
2013,West,560,5,5,1
2013,West,570,15,0,0
2013,West,580,40,0,0
2013,West,590,35,0,2
2013,West,600,35,0,0
2013,West,610,45,0,0
2013,West,620,20,0,1
2013,West,630,30,3,0
2013,West,640,30,0,0
2013,West,640,30,1,2
2013,West,650,30,1,2
2013,West,660,40,2,2
2013,West,680,25,0,0
2013,West,690,50,0,0
2013,West,700,50,5,0
2013,West,710,25,5,2
2013,West,720,45,4,0
2013,West,730,30,6,0
2013,West,740,30,4,0
2013,West,750,25,0,0
2013,West,760,30,0,0
2013,West,770,42,0,0
2013,West,780,40,7,0
2013,West,790,30,0,0
2013,West,800,35,0,
2013,West,810,50,0,0
2013,West,820,35,0,0
2013,West,830,45,0,0
2013,West,840,50,0,0
2013,West,850,65,0,0
2013,West,860,50,0,0
2013,West,870,35,0,0
2013,West,880,50,0,0
2013,West,890,57,0,3
2013,West,900,50,0,0
2013,West,910,60,2,2
2013,West,920,67,3,0
2013,West,930,75,0,0
2013,West,940,25,1,0
2013,West,950,30,0,0
2013,West,960,50,2,0
2013,West,970,50,2,0
2013,West,980,57,0,0
2013,West,990,45,2,0
2013,West,1000,65,2,0
